id_projet,id_client,description,statut,date_creation,date_fin,remuneration,titre,attentes,budget,id_intervenant
49,20,Refonte UI/UX pour EDF (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-11-09,2026-02-20,4138.97,Refonte UI/UX,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",39439.8,41
50,8,Intégration API pour Sanofi (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2024-04-28,2024-05-16,11425.13,Intégration API,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",50946.18,9
51,3,Site vitrine pour Vinci (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-03-01,2024-03-20,6684.84,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",32178.03,20
52,15,Site e-commerce pour L'Oréal (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-11-22,2025-12-31,6061.52,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",42539.71,76
53,13,Site e-commerce pour BlaBlaCar (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-04-18,2025-05-28,6198.54,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",28208.02,140
54,1,Dashboard analytics pour Thales (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-02-11,2025-03-28,2646.63,Dashboard analytics,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",10819.68,6
55,1,Intégration API pour Thales (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-11-17,2026-03-01,8241.17,Intégration API,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",44710.6,15
56,11,Maintenance WordPress pour La Poste (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-10-16,2025-11-08,13324.91,Maintenance WordPress,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",59377.29,28
57,15,Audit accessibilité pour L'Oréal (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-09-12,2025-11-27,12586.97,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",57701.22,6
58,1,Intégration API pour Thales (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-09-07,2025-12-08,2820.22,Intégration API,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",12686.96,37
59,2,Dashboard analytics pour Michelin (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2024-01-05,2024-04-10,9555.58,Dashboard analytics,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",38607.68,91
60,2,Site vitrine pour Michelin (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-09-06,2025-10-16,7983.09,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",54140.16,86
61,11,Site e-commerce pour La Poste (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2024-12-25,2025-01-15,3231.98,Site e-commerce,"Lancer une boutique en ligne performante, optimiser le parcours d’achat et le SEO, suivre les conversions.",25508.29,56
62,10,Site vitrine pour Carrefour (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-02-08,2025-05-28,5633.45,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",37085.77,96
63,20,Maintenance WordPress pour EDF (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-12-01,2026-01-09,2723.51,Maintenance WordPress,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",20150.83,136
64,14,Maintenance WordPress pour BNP Paribas (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-10-25,2024-12-21,4115.82,Maintenance WordPress,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",32867.11,72
65,3,Dashboard analytics pour Vinci (réalisé par la Junior-Entreprise Télécom Nancy).,en_negociation,2025-02-21,2025-04-20,12135.34,Dashboard analytics,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",57265.61,103
66,10,Maintenance WordPress pour Carrefour (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-01-21,2025-02-11,1651.32,Maintenance WordPress,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",17123.75,47
67,19,Intégration API pour Airbus (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-04-21,2024-07-23,4270.47,Intégration API,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",29421.25,27
68,9,Développement Back-office pour Decathlon (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-03-01,2024-05-10,1354.07,Développement Back-office,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",6988.66,75
69,7,Maintenance WordPress pour Eiffage (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-06-23,2024-08-14,6130.08,Maintenance WordPress,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",27363.01,39
70,9,Maintenance WordPress pour Decathlon (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-01-01,2025-01-26,7967.73,Maintenance WordPress,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",49187.06,28
71,8,Audit accessibilité pour Sanofi (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-06-23,2025-09-19,4354.58,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",48210.77,107
72,16,Audit accessibilité pour Crédit Agricole (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2024-01-29,2024-04-09,885.96,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",5228.97,108
73,11,Landing page pour La Poste (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-06-29,2024-10-10,9813.59,Landing page,"Définir des objectifs clairs, livrer une solution conforme au besoin, avec documentation et accompagnement.",44012.19,99
74,17,Intégration API pour Capgemini (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-06-22,2025-10-20,4476.17,Intégration API,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",19368.56,64
75,13,Dashboard analytics pour BlaBlaCar (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2025-01-10,2025-02-19,750.83,Dashboard analytics,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",3079.87,51
76,2,Optimisation SEO pour Michelin (réalisé par la Junior-Entreprise Télécom Nancy).,en_attente_de_paiement,2025-04-28,2025-06-01,5914.39,Optimisation SEO,"Améliorer l’efficacité opérationnelle, digitaliser les processus et fiabiliser le suivi des indicateurs.",43234.72,86
77,9,Audit accessibilité pour Decathlon (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-08-26,2024-09-19,966.49,Audit accessibilité,"Mettre en place des tableaux de bord clairs, fiabiliser les données et automatiser les rapports.",11389.48,27
78,14,Refonte UI/UX pour BNP Paribas (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2025-02-27,2025-04-29,7028.02,Refonte UI/UX,"Sécuriser les flux et la conformité, automatiser le reporting et améliorer l’expérience client.",53203.54,62
79,14,Site vitrine pour BNP Paribas (réalisé par la Junior-Entreprise Télécom Nancy).,en_cours,2024-04-15,2024-06-27,8626.95,Site vitrine,"Créer un site clair et responsive, améliorer la visibilité, et faciliter la prise de contact.",37732.86,136
80,5,Refonte UI/UX pour Schneider Electric (réalisé par la Junior-Entreprise Télécom Nancy).,termine,2024-08-26,2024-10-20,10279.54,Refonte UI/UX,"Moderniser les outils, améliorer la performance et assurer la scalabilité des solutions.",50484.22,38
